"PlayerName" "P" "Age" "Salary" "GP" "G" "GA" "PlusMin" "NHL" "TotVal" "TotPMVal" "TotValh" "TotPMValh" "ByMatchVal" "ByMatchPMVal" "ByMatchValh" "ByMatchPMValh" "ByMatchPlusMin" "ByMatchNHL"
"1" "Rob Blake" "D" 38 6 71 9 22 -19 31 21.78 10 69.19 33.04 0.31 0.14 0.97 0.47 -0.27 0.44
"2" "Rod Brind'Amour" "C" 37 4 59 19 32 0 51 -4.59 10.99 -10.22 28.82 -0.08 0.19 -0.17 0.49 0 0.86
"3" "Patrice Brisebois" "D" 36 1.4 43 3 8 -2 11 -0.96 2.65 -1.41 7.86 -0.02 0.06 -0.03 0.18 -0.05 0.26
"4" "Chris Chelios" "D" 45 1.15 69 3 9 11 12 -0.35 -1.45 -3.5 -17.61 -0.01 -0.02 -0.05 -0.26 0.16 0.17
"5" "Kris Draper" "C" 36 2.13 65 9 8 -2 17 1.1 -0.21 5.26 6.48 0.02 0 0.08 0.1 -0.03 0.26
"6" "Sergei Fedorov" "C" 38 6.08 68 11 30 -5 41 -1.15 13.92 -1.17 14.59 -0.02 0.2 -0.02 0.21 -0.07 0.6
"7" "Martin Gelinas" "LW" 37 1.25 57 9 11 5 20 1.86 5.51 7.22 21.97 0.03 0.1 0.13 0.39 0.09 0.35
"8" "Dominik Hasek" "G" 42 4.05 41 0 1 0 1 -2.22 17.36 -4.87 44.99 -0.05 0.42 -0.12 1.1 0 0.02
"9" "Bobby Holik" "C" 37 4.25 82 15 19 -14 34 -2.63 1 -7.66 2.11 -0.03 0.01 -0.09 0.03 -0.17 0.41
"10" "Jaromir Jagr" "RW" 35 8.36 82 25 46 8 71 -0.05 0.44 -0.05 0.87 0 0.01 0 0.01 0.1 0.87
"11" "Curtis Joseph" "G" 40 0.65 9 0 0 0 0 2.87 1.53 14.24 7.38 0.32 0.17 1.58 0.82 0 0
"12" "Olie Kolzig" NA NA NA 54 NA NA NA NA 2.25 12.58 5.58 37.97 0.04 0.23 0.1 0.7 NA NA
"13" "Trevor Linden" "C" 37 0.95 59 7 5 0 12 -1.78 13.38 -7.26 46.51 -0.03 0.23 -0.12 0.79 0 0.2
"14" "Mike Modano" "C" 37 4.25 82 21 36 -11 57 -0.16 7.05 -0.15 8.42 0 0.09 0 0.1 -0.13 0.7
"15" "Owen Nolan" "RW" 35 1.75 77 16 16 6 32 1.09 -1.45 10 -15.52 0.01 -0.02 0.13 -0.2 0.08 0.42
"16" "Teppo Numminen" "D" 39 0.08 1 0 0 0 0 1.37 10.45 5.22 35.93 1.37 10.45 5.22 35.93 0 0
"17" "Mark Recchi" "RW" 39 1.75 72 14 34 -18 48 -0.14 2.23 -1.15 13.48 0 0.03 -0.02 0.19 -0.25 0.67
"18" "Luke Richardson" "D" 38 0.5 76 2 7 1 9 0.05 0.33 0.01 3.98 0 0 0 0.05 0.01 0.12
"19" "Gary Roberts" "LW" 41 2.5 38 3 12 -3 15 -1.12 5.17 -5.16 18.3 -0.03 0.14 -0.14 0.48 -0.08 0.39
"20" "Jeremy Roenick" "C" 37 0.5 69 14 19 -8 33 5.08 3.65 21.86 16.39 0.07 0.05 0.32 0.24 -0.12 0.48
"21" "Joe Sakic" "C" 38 6.75 44 13 27 -4 40 -2.07 1.48 -10.8 8.03 -0.05 0.03 -0.25 0.18 -0.09 0.91
"22" "Mathieu Schneider" "D" 38 5.5 65 12 27 22 39 11.47 3.84 36.7 12.91 0.18 0.06 0.56 0.2 0.34 0.6
"23" "Brendan Shanahan" "LW" 38 2.5 73 23 23 -2 46 0.76 3.85 80.38 114.85 0.01 0.05 1.1 1.57 -0.03 0.63
"24" "Mike Sillinger" "C" 36 2.2 52 14 12 -10 26 -0.71 0.32 -3.2 -2.29 -0.01 0.01 -0.06 -0.04 -0.19 0.5
"25" "Mats Sundin" "C" 36 5.5 74 32 46 17 78 -5.32 5.67 -15.78 19.46 -0.07 0.08 -0.21 0.26 0.23 1.05
"26" "Scott Thornton" "LW" 36 1.5 47 5 3 1 8 -0.41 -0.05 -1.06 -0.02 -0.01 0 -0.02 0 0.02 0.17
"27" "Wes Walz" "C" 37 1.4 11 1 3 -5 4 0.04 -0.02 0.63 -0.39 0 0 0.06 -0.04 -0.45 0.36
"28" "Glen Wesley" "D" 39 1.4 78 1 7 -3 8 -3.14 3.44 -11.77 16.64 -0.04 0.04 -0.15 0.21 -0.04 0.1
"29" "Stu Barnes" "C" 37 0.9 79 12 11 -3 23 0.23 0.3 0.94 1.81 0 0 0.01 0.02 -0.04 0.29
"30" "Martin Brodeur" "G" 35 5.2 77 0 4 0 4 -0.41 3.6 0.43 11.76 -0.01 0.05 0.01 0.15 0 0.05
"31" "Keith Carney" "D" 37 2.1 61 1 10 8 11 0 0.43 0 4.6 0 0.01 0 0.08 0.13 0.18
"32" "Craig Conroy" "C" 36 2.85 79 12 22 6 34 -0.71 1.88 -2.88 13.15 -0.01 0.02 -0.04 0.17 0.08 0.43
"33" "Jim Dowd" "C" 39 0.5 73 5 5 0 10 -2.15 -2.36 -6.28 -7.38 -0.03 -0.03 -0.09 -0.1 0 0.14
"34" "Dallas Drake" "LW" 38 0.55 65 3 3 -12 6 1.4 -3.11 4.45 -15.84 0.02 -0.05 0.07 -0.24 -0.18 0.09
"35" "Adam Foote" "D" 36 4.6 74 1 15 2 16 1.28 11.98 3.58 37.72 0.02 0.16 0.05 0.51 0.03 0.22
"36" "Bill Guerin" "RW" 37 4.5 81 23 21 -15 44 -0.27 12.6 -1.02 30.37 0 0.16 -0.01 0.37 -0.19 0.54
"37" "Derian Hatcher" "D" 35 3.5 44 2 5 4 7 11.72 -0.33 39.64 2.3 0.27 -0.01 0.9 0.05 0.09 0.16
"38" "Bret Hedican" "D" 37 2.43 66 2 15 17 17 -1.48 -2.12 -7.61 -9.61 -0.02 -0.03 -0.12 -0.15 0.26 0.26
"39" "Sean Hill" "D" 37 0.99 35 2 7 -16 9 0.38 1.08 0.71 0.57 0.01 0.03 0.02 0.02 -0.46 0.26
"40" "Ken Klee" "D" 36 1.25 72 1 9 -5 10 -1.19 1.17 -3.78 4.14 -0.02 0.02 -0.05 0.06 -0.07 0.14
"41" "Jon Klemm" "D" 37 0.19 22 0 0 -5 0 1.3 3.46 6.66 23.83 0.06 0.16 0.3 1.08 -0.23 0
"42" "Vyacheslav Kozlov" NA NA NA 82 NA NA NA NA -5.06 0.5 -13.1 -0.59 -0.06 0.01 -0.16 -0.01 NA NA
"43" "Robert Lang" "C" 37 4 76 21 33 9 54 -3.59 -3.25 -15.05 -17.71 -0.05 -0.04 -0.2 -0.23 0.12 0.71
"44" "Nicklas Lidstrom" "D" 37 7.6 76 10 60 40 70 -5.78 2.78 -20.18 4.45 -0.08 0.04 -0.27 0.06 0.53 0.92
"45" "Brad May" "LW" 36 0.6 61 3 1 2 4 -1.44 4.89 -5.41 15.57 -0.02 0.08 -0.09 0.26 0.03 0.07
"46" "Aaron Miller" "D" 36 1.5 57 1 8 -1 9 17.7 14.6 60.13 50.33 0.31 0.26 1.05 0.88 -0.02 0.16
"47" "Jaroslav Modry" "D" 36 1.2 78 1 8 -9 9 1.97 1.36 5.93 5.27 0.03 0.02 0.08 0.07 -0.12 0.12
"48" "Geoff Sanderson" "LW" 35 1.5 41 3 10 -7 13 -1.61 1.2 -7.59 5.51 -0.04 0.03 -0.19 0.13 -0.17 0.32
"49" "Teemu Selanne" "RW" 37 1.07 26 12 11 5 23 -0.6 8.49 -1.84 27.94 -0.02 0.33 -0.07 1.07 0.19 0.88
"50" "Chris Simon" "LW" 35 0.49 38 1 2 -2 3 4.89 1.66 23.57 8.11 0.13 0.04 0.62 0.21 -0.05 0.08
"51" "Bryan Smolinski" "C" 36 2 64 8 17 -6 25 -0.39 4.12 -2.2 17.14 -0.01 0.06 -0.03 0.27 -0.09 0.39
"52" "Darryl Sydor" "D" 35 2.5 74 1 12 1 13 0.07 -0.09 0.58 -0.72 0 0 0.01 -0.01 0.01 0.18
"53" "Keith Tkachuk" "LW" 35 3.5 79 27 31 -2 58 0.01 1.61 0.01 3.21 0 0.02 0 0.04 -0.03 0.73
"54" "Doug Weight" "C" 36 3.5 67 10 15 4 25 0.67 0.03 2.94 -0.67 0.01 0 0.04 -0.01 0.06 0.37
"55" "Sergei Zubov" "D" 37 4 46 4 31 6 35 -0.11 -1.88 -1.35 -10.64 0 -0.04 -0.03 -0.23 0.13 0.76
"56" "Scott Niedermayer" "D" 34 4.12 48 8 17 -2 25 -0.24 -0.15 -1.19 -0.76 -0.01 0 -0.02 -0.02 -0.04 0.52
"57" "Aaron Ward" "D" 34 2.75 65 5 8 9 13 0.06 4.83 0.84 26.74 0 0.07 0.01 0.41 0.14 0.2
"58" "Peter Forsberg" "C" 34 1.12 9 1 13 7 14 -0.39 6.64 -0.47 6.14 -0.04 0.74 -0.05 0.68 0.78 1.56
"59" "Martin Lapointe" "RW" 34 2.4 70 6 7 -5 13 -0.03 -0.36 -0.19 -2.13 0 -0.01 0 -0.03 -0.07 0.19
"60" "Brian Rolston" "LW" 34 2.43 81 31 28 -1 59 -0.87 7.22 -2.88 31.14 -0.01 0.09 -0.04 0.38 -0.01 0.73
"61" "Philippe Boucher" "D" 34 2.5 38 2 12 3 14 -0.58 15.13 -0.58 15.97 -0.02 0.4 -0.02 0.42 0.08 0.37
